id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
90,한식,개정,137,15,836139,283000,0,0,0.234862385,0.004143238,0.231170033,0.344282238,0,0,5
91,주점,개집비어,88,21,203452,66900,4,14,0.144954128,0.005918911,0.0562484,0.081386861,0.04,0.14,1
92,한식,건강밥상 심마니,37,9,1513090,298700,66,0,0.051376147,0.002367564,0.418329521,0.363381995,0.66,0,5
93,분식,걸작떡볶이치킨,84,135,316393,63160,33,9,0.137614679,0.039656703,0.087473673,0.076836983,0.33,0.09,1
94,중/일식,겐로쿠우동,118,16,240214,80900,6,6,0.2,0.004439183,0.066412145,0.098418491,0.06,0.06,1
95,중/일식,겐텐,28,4,219971,143800,100,0,0.034862385,0.000887837,0.060815477,0.174939173,1,0,3
96,기타 외식,겟201(GET201),54,5,726371,306900,20,0,0.082568807,0.001183782,0.200822013,0.373357664,0.2,0,5
97,한식,경복궁삼계탕,24,14,530851,50100,100,0,0.027522936,0.003847292,0.146765777,0.060948905,1,0,3
98,기타 외국식,경성양꼬치,101,36,274486,72300,2,16,0.168807339,0.010358094,0.075887468,0.087956204,0.02,0.16,1
99,주점,경성주막1929,55,86,479742,98150,11,20,0.08440367,0.025155371,0.132635457,0.119403893,0.11,0.2,1
100,카페,경성코페,49,11,241571,184500,18,9,0.073394495,0.002959455,0.06678732,0.224452555,0.18,0.09,1
101,기타 외식,경성함바그,70,22,469771,190410,9,22,0.111926606,0.006214856,0.129878733,0.231642336,0.09,0.22,1
102,치킨,경아두마리치킨,195,72,154867,28100,36,16,0.341284404,0.021012134,0.042815901,0.034184915,0.36,0.16,4
103,한식,계경순대국,82,42,302623,57150,21,16,0.133944954,0.012133767,0.083666623,0.069525547,0.21,0.16,1
104,치킨,계동치킨,198,108,36424,32450,6,11,0.346788991,0.031666173,0.010069467,0.039476886,0.06,0.11,4
105,치킨,계림원누릉지통닭구이,96,40,256194,93050,40,17,0.159633028,0.011541876,0.070830202,0.113199513,0.4,0.17,1
