업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률
한식,나는 밥조폭이다,23,37,54810 ,"41250",100,21
한식,보승회관,43,17,676433 ,"101970",47,5
한식,건강밥상 심마니,37,9,1513090 ,"298700",66,0
한식,더만족,114,31,363009 ,"101900",6,19
한식,담소 소사골 순대 육개장,109,97,540966 ,"134600",11,17
한식,오술차,71,27,289277 ,"58850",11,18
한식,낭만쭈꾸미,88,9,497049 ,"157300",22,66
한식,신의주찹쌀순대,164,160,434069 ,"96570",15,8
한식,청국장과보리밥,133,14,518846 ,"140500",0,21
한식,흥부찜닭,26,110,92470 ,"84753",100,3
한식,진한설렁탕담다,87,3,116813 ,"101554",0,66
한식,삼겹본능,29,183,48509 ,"33557",91,13
한식,놀부유황오리진흙구이,255,1,623671 ,"240780",0,0
한식,놀부항아리갈비,195,7,203115 ,"156719",0,42
한식,놀부화덕족발,87,6,130794 ,"93962",0,50
한식,놀부보쌈족발,383,162,197575 ,"116292",11,21
한식,놀부부대찌개,346,323,217226 ,"103343",7,17
한식,교동전선생,130,37,359159 ,"91500",0,13
한식,현풍닭칼국수,77,38,387449 ,"122100",39,5
한식,갈비애드림,57,12,300667 ,"89920",100,75
한식,안동국밥곰탕,93,31,274169 ,"147000",6,48
한식,목구멍,48,12,501414 ,"107250",33,0
한식,신정골,221,10,112895 ,"103700",10,20
한식,착한막창,58,16,274634 ,"57750",25,6
한식,하수련주왕산삼계탕,174,16,240411 ,"116000",6,0
한식,현대옥,143,141,444768 ,"117005",3,7
한식,빚은,176,55,173369 ,"177250",9,27
한식,한와담,64,6,1039928 ,"200100",33,0
한식,넙딱집,40,5,404116 ,"55350",60,0
한식,유케야,36,22,398695 ,"104500",68,4
한식,안동본가국밥,80,29,394621 ,"91850",10,27
한식,반할맛으로 값어치하는 소고깃집,72,22,881119 ,"176000",27,4
한식,바푸리죽앤즙,66,5,118142 ,"86900",20,40
한식,콩두,23,21,302714 ,"51200",100,0
한식,육수당,68,47,257509 ,"100850",61,14
한식,자연정가 양평해장국,177,57,423790 ,"124900",10,10
한식,북창동순두부,232,62,449761 ,"117200",4,4
한식,남다른감자탕(男다른감子탕),133,70,631245 ,"192168",5,14
한식,월홍갈비,108,5,264298 ,"118350",20,0
한식,족장,108,26,247005 ,"101300",19,42
한식,신사부대찌개&품격삼겹살,64,20,246199 ,"126800",45,35
한식,효자막창,44,13,348061 ,"76150",53,7
한식,집으로돼지,73,32,104143 ,"34350",34,25
한식,축제갈비,38,14,368570 ,"173100",35,0
한식,사랑담은묵은지찜찌개,81,18,139992 ,"37400",11,27
한식,노걸대,166,45,282297 ,"82050",15,37
한식,원조전통명가 통큰할매순대국,86,33,146300 ,"109500",3,54
한식,을용이곱창,31,6,174775 ,"60400",66,16
한식,다솥맛집,33,6,791587 ,"225090",33,0
한식,제주안방갈비,11,35,129776 ,"35860",100,2
한식,맛나감자탕,206,76,516581 ,"159900",3,2
한식,김충기꽃삼겹,39,72,157994 ,"16740",63,15
한식,배씨상회,55,7,136333 ,"57100",42,0
한식,이동규인 왔따쪽갈비,32,36,208333 ,"59100",72,16
한식,어머나생고기,62,15,331018 ,"130600",0,33
한식,메밀골동해막국수,204,9,147439 ,"132800",0,0
한식,형제닭발&오돌뼈,21,11,474058 ,"50670",100,0
한식,JBD 종로빈대떡,329,30,43613 ,"46100",23,6
한식,구이구이쪽갈비,99,33,249926 ,"50500",9,12
한식,주왕산삼계탕,131,15,243997 ,"110640",6,0
한식,대가야삼계탕,131,5,266819 ,"110640",0,0
한식,본건강한상,50,9,290905 ,"98847",11,0
한식,한티재,47,6,428754 ,"151600",33,0
한식,오태호 팔공산돌곱창,24,9,175950 ,"13750",100,0
한식,원청담면옥,26,8,594989 ,"167200",100,0
한식,제주울어멍해장국,43,11,303836 ,"98700",9,0
한식,오덕후,31,8,193723 ,"30480",37,0
한식,뜨끈이 감자탕,69,7,767384 ,"93300",28,0
한식,스타곱스,11,32,1450 ,"63600",100,3
한식,백촌진짜대구막창,48,9,157566 ,"68340",44,11
한식,논골집,268,16,466160 ,"133420",6,18
한식,한통(한마리 통큰)정육식당,75,17,480596 ,"125830",17,11
한식,대장부,94,9,281962 ,"111700",11,33
한식,조선에서왔소,22,8,472000 ,"79280",100,0
한식,오븐에 빠진 막창,51,35,114545 ,"18720",42,0
한식,불끈낙지,77,10,626400 ,"445000",30,0
한식,신의주부대찌개,99,15,260137 ,"95170",0,6
한식,만복한쭈꾸미낙지볶음,81,15,915090 ,"160100",13,0
한식,한동길전통감자탕,177,5,339428 ,"106150",20,20
한식,덤덤덤쪽갈비,45,27,208508 ,"71500",14,100
한식,오과장대패&샐러드바,25,11,271943 ,"66000",100,0
한식,명장복집&24시명장복국,69,5,391497 ,"203500",20,20
한식,남다른대구막창,44,31,195417 ,"72520",19,9
한식,열정담은 국물집,40,13,155694 ,"82300",69,0
한식,땡기요,68,14,134066 ,"82200",21,7
한식,청기와뼈다귀해장국,157,17,640798 ,"130490",11,0
한식,로꼬로꼬,103,5,484735 ,"92760",20,60
한식,북촌삼대갈비,37,21,876830 ,"76560",71,42
한식,무봉리토종순대국,263,148,252477 ,"88800",4,5
한식,방가삼대 얼큰한뼈해장국,34,5,607363 ,"82000",0,0
한식,고봉민김밥人,111,623,182019 ,"59345",2,6
한식,박수근네온천골,188,11,270519 ,"32000",9,9
한식,뼈대있는국밥,25,29,7255 ,"64950",100,0
한식,조리고,49,10,668143 ,"136400",40,20
한식,용추골미궁순대,191,43,60665 ,"85200",9,2
한식,원플러스원 찌개&볶음,25,67,11368 ,"60450",100,17
한식,냉면덕후,9,34,4359 ,"58250",100,20
한식,나주할매 곰탕&뼈해장국,25,38,4616 ,"60450",100,26
한식,1인 한식당,25,39,12345 ,"60450",100,23
한식,도리명가,104,5,152099 ,"122150",20,20
한식,설담재,9,5,695810 ,"107900",60,40
한식,본가어탕,52,9,403004 ,"99600",0,11
한식,족발쌀롱,76,14,225614 ,"117500",21,14
한식,울타리없는만두집,71,16,103449 ,"73500",0,6
한식,단물곤물,95,14,193448 ,"140720",7,57
한식,진원 소우,26,5,1279205 ,"169500",100,0
한식,월수금,126,24,292912 ,"79000",12,33
한식,화성옥,48,9,281297 ,"107250",0,11
한식,가얏골감자탕,197,30,188436 ,"116600",0,13
한식,불타는 형제들,38,17,204611 ,"7300",70,0
한식,만나고쪽갈비가,79,28,191141 ,"63050",17,10
한식,두거리우신탕,80,21,369458 ,"40645",9,9
한식,탕쓱잘튀기는집,23,38,21152 ,"48100",100,0
한식,닥치고곱창,46,17,39965 ,"66050",47,29
한식,꽃차돌,32,7,372051 ,"112550",42,14
한식,약초마을,175,7,315143 ,"13000",0,28
한식,양마니순대곱창,48,8,112194 ,"84600",25,62
한식,조이박꽃도새기,56,6,294078 ,"94100",50,33
한식,김영화부대찌개,26,5,294015 ,"104200",100,0
한식,팔덕식당,42,9,330581 ,"85720",33,11
한식,설동궁찜닭,91,105,278973 ,"57000",58,3
한식,망향비빔국수,119,42,524229 ,"174300",30,2
한식,대관령양푼이동태찌개,182,21,217272 ,"89197",4,4
한식,대박통,109,18,232540 ,"85410",5,22
한식,정광석 항아리보쌈,50,12,625188 ,"139700",25,8
한식,다깡,83,12,291194 ,"89600",8,25
한식,수김밥,70,19,238166 ,"81300",10,0
한식,아부찌부대찌개,29,41,169735 ,"23650",73,2
한식,육쌈냉면,157,102,387973 ,"167280",6,3
한식,백청우칼국수,228,15,390883 ,"140080",0,6
한식,다시오고싶은집이명숙양평해장국,144,3,304398 ,"46750",0,100
한식,삼겹촌놈,76,8,324871 ,"110250",0,62
한식,쭈꾸미도사,23,7,372701 ,"65500",100,0
한식,큰돈쪽쪽갈비,68,6,205717 ,"131500",16,16
한식,생고기대학교,49,13,205635 ,"129300",0,53
한식,쿡친,91,9,119751 ,"62720",0,44
한식,시골통돼지볶음,116,18,284284 ,"26292",5,16
한식,콩시루,252,16,231617 ,"75800",0,25
한식,흑돼지 삼백식당,62,20,471683 ,"101200",10,35
한식,육회본가,47,33,237400 ,"62700",42,36
한식,황금코다리,60,107,549884 ,"146900",50,4
한식,육시리,52,18,876741 ,"137000",27,11
한식,진성아구찜,168,38,276034 ,"63030",5,5
한식,육장장이,24,13,889383 ,"179000",100,0
한식,조가네갑오징어,76,21,509233 ,"101000",14,4
한식,쭈꾸쭈꾸아,53,5,303048 ,"205530",20,60
한식,개성집,37,7,480500 ,"136100",42,28
한식,김영희동태찜&코다리냉면,48,46,273333 ,"104000",39,30
한식,일미리 금계찜닭,110,92,201946 ,"128500",20,15
한식,샤브쌈주머니,105,39,648654 ,"87500",15,7
한식,도리연닭도리탕,50,5,339662 ,"62500",20,0
한식,차돌풍,40,62,679720 ,"106840",58,9
한식,성경만두요리전문점,80,25,348180 ,"139250",20,16
한식,어죽이네철렵국,178,17,153101 ,"17500",0,11
한식,호수꼬치,59,41,190173 ,"37410",53,12
한식,황소갈비,89,12,671252 ,"137270",16,33
한식,백하돼지생갈비,38,5,626685 ,"135350",80,20
한식,봉화산 설렁탕 전문점,47,6,745182 ,"151600",0,0
한식,숯불에닭,70,12,314523 ,"85820",16,8
한식,고집센그집갈비탕,54,58,419137 ,"74140",24,5
한식,양철식당,45,8,382785 ,"118500",25,37
한식,5.5닭갈비,165,60,73164 ,"74700",6,5
한식,청양일초,176,29,354507 ,"108980",6,20
한식,임창정의 모서리족발,41,55,378467 ,"71764",94,9
한식,도야족발보쌈,80,135,368570 ,"80300",23,13
한식,통큰낙지,109,14,354361 ,"176000",28,21
한식,나이스투미츄,89,6,529494 ,"101420",33,66
한식,만식이네와인포차,32,10,210333 ,"61650",40,0
한식,배달짜글OH짜글,23,37,311137 ,"39400",100,0
한식,덕뽀리,51,10,193963 ,"42600",40,70
한식,여장군,59,17,192476 ,"51532",52,23
한식,채돈이,42,6,262761 ,"72700",16,0
한식,모던불닭,24,8,71951 ,"31600",100,0
한식,육첩반상,46,11,440383 ,"111020",36,9
한식,THE진국,116,76,452088 ,"103550",27,13
한식,화덕초 대파불고기,66,7,319143 ,"78900",0,100
한식,대패장사,35,8,190576 ,"69100",12,0
한식,길성이,183,20,378379 ,"277120",0,5
한식,더맛있는족발보쌈,33,11,863313 ,"93630",72,0
한식,제주몬트락,72,6,754992 ,"156300",0,50
한식,존가네,45,93,199563 ,"29620",58,17
한식,백그릇국밥,25,6,392598 ,"104550",100,16
한식,장패(JANGPAE),111,21,317625 ,"121260",4,0
한식,와촌식육식당,67,24,336815 ,"111070",0,4
한식,본설렁탕,68,22,255927 ,"112560",36,45
한식,돼지코생곱창갈비,98,7,175800 ,"84765",57,0
한식,곽만근갈비탕,115,28,660043 ,"166040",0,10
한식,배달삼겹직구삼,47,50,399627 ,"36300",40,10
한식,육대장,105,153,407563 ,"192080",6,20
한식,참토우,118,9,844397 ,"102400",0,11
한식,박군자진주냉면,83,13,495642 ,"21500",23,30
한식,어바웃샤브,190,11,331780 ,"81200",0,9
한식,떡가게 종춘,33,5,1602736 ,"108450",0,0
한식,배부장찌개,57,105,355797 ,"60850",28,14
한식,면채반,104,5,346680 ,"117400",20,20
한식,입큰아구알곤이찜,36,16,214902 ,"21450",62,0
한식,유가네닭갈비,226,196,544369 ,"94850",24,2
한식,삼원돈,33,1,126542 ,"105100",100,0
한식,신촌설렁탕,214,52,421016 ,"28500",5,0
한식,오늘한점,129,14,272857 ,"162295",0,35
한식,돌배기집,85,47,768326 ,"120830",8,34
한식,본가,226,36,896468 ,"193940",2,25
한식,백종원의원조쌈밥집,335,28,537583 ,"137360",21,25
한식,한신포차,137,141,993924 ,"167330",14,4
한식,새마을식당,185,127,582625 ,"99080",7,18
한식,우주최강도시락,80,13,276662 ,"72580",53,7
한식,단골손님,26,15,545108 ,"87800",100,0
한식,황장군,60,17,1018159 ,"237800",0,23
한식,연안식당,39,209,904846 ,"127375",53,8
한식,삼청동멸치국수,58,12,209218 ,"54800",41,0
한식,황금식당,44,1,688007 ,"115055",0,100
한식,차돌6키로,37,1,314341 ,"127375",0,100
한식,맵도리탕,56,37,273747 ,"39045",59,8
한식,신마포갈매기,152,137,580550 ,"135350",5,19
한식,미추냉삼,27,1,366111 ,"120390",0,0
한식,123막창,54,26,354106 ,"93500",38,7
한식,육회말투아웃,55,10,294622 ,"54625",20,40
한식,고래식당,48,21,544663 ,"117255",4,4
한식,고래감자탕,49,12,828646 ,"117255",0,0
한식,마녀가 만든 족발,61,11,308221 ,"99800",9,45
한식,청사월보리밥과쭈꾸미,47,11,401052 ,"142800",9,0
한식,행복가마솥밥&알솥밥,45,23,429093 ,"131707",60,13
한식,채선당,195,187,569307 ,"379280",3,14
한식,바다향왕코다리,21,5,722355 ,"211200",100,0
한식,샤브보트,55,32,469799 ,"94536",18,6
한식,홍구등갈비,76,6,262593 ,"34720",16,33
한식,온누리장작구이,171,9,737564 ,"169890",0,0
한식,이화수전통육개장,89,173,482307 ,"95500",8,10
한식,맛들의축제,50,13,19483 ,"72200",38,53
한식,어명이요,65,3,362284 ,"68450",33,33
한식,종로직화쭈꾸미,75,5,666306 ,"62800",0,80
한식,"소담애 족발,보쌈",130,19,351 ,"103100",0,21
한식,88콩나물국밥,58,7,258174 ,"59200",42,14
한식,웰미가,74,5,623070 ,"88433",20,40
한식,천사곱창,58,42,72320 ,"55800",50,4
한식,또와유 명태간장조림,111,30,290700 ,"83600",10,23
한식,존슨부대찌개,82,41,198950 ,"79100",19,9
한식,쭈꾸미시스터즈,69,4,501574 ,"101500",0,100
한식,살아있네아구,54,5,245567 ,"102020",0,0
한식,철순이네김치찌개,31,11,206567 ,"90000",100,72
한식,청실홍실,34,13,228573 ,"74600",15,53
한식,땅스부대찌개,50,177,171677 ,"30600",83,1
한식,미스터닭찜,46,8,41417 ,"44470",62,75
한식,미스터보쌈5379,107,93,186812 ,"55250",7,31
한식,삼겹구이,111,14,183333 ,"26680",14,28
한식,고을래이베리코흑돼지,41,8,562241 ,"107745",0,12
한식,백철판0410,71,8,383252 ,"110160",0,25
한식,모두국밥,48,5,272175 ,"80300",40,0
한식,온채당,61,18,463274 ,"196950",11,5
한식,쌀눈쌀 현미누룽지,59,46,15656 ,"19700",8,58
한식,내가찜한닭,109,29,477054 ,"180700",0,10
한식,생극해장국,44,14,142456 ,"92500",64,0
한식,참한국밥,26,6,176151 ,"76620",100,0
한식,홍반장신의주찹쌀순대와감자탕,169,5,570049 ,"78950",0,20
한식,등뼈가,191,85,172915 ,"84000",9,4
한식,별법 동태탕 왕해물찜,102,23,113269 ,"53350",0,47
한식,내담 대구탕 해물갈비찜,99,43,84190 ,"53350",18,20
한식,얌샘김밥,65,169,263206 ,"63050",40,8
한식,김경자소문난대구왕뽈찜,76,16,431342 ,"139200",43,6
한식,바베큐통족구이,135,38,120373 ,"73950",2,26
한식,동서네낙지,97,23,245623 ,"66580",13,17
한식,닭갈비제작소,73,32,434920 ,"106700",0,0
한식,착한돼지,95,21,836216 ,"221975",4,14
한식,조선닭볶음탕,57,11,369861 ,"52050",0,18
한식,놀란돼지,177,14,126700 ,"64700",0,0
한식,놀란곱창,194,9,51859 ,"64700",0,22
한식,고기는 모름지기 연탄구이,26,9,419855 ,"70941",100,11
한식,상도늘보리,55,15,438032 ,"94100",0,20
한식,족제소,18,2,16792 ,"85774",100,0
한식,소소린,31,28,97981 ,"36400",85,7
한식,폭풍갈비,31,8,116620 ,"115000",50,37
한식,설레족발,34,5,422237 ,"76800",0,0
한식,삼육오 족발찜닭,77,12,379123 ,"144570",0,16
한식,더자반(The자반),36,2,447915 ,"111550",50,0
한식,조미료를넣지않은참마마된장,38,7,246607 ,"96850",71,0
한식,해까득,116,11,182483 ,"63610",18,27
한식,장수본가해장국,77,13,438883 ,"61600",23,23
한식,더도이종가집돼지국밥,67,6,1270883 ,"319000",0,0
한식,꼽창꼽창,44,6,391600 ,"93739",16,66
한식,반주(BANJOO),63,1,3317161 ,"346800",0,0
한식,한옥마을전주비빔밥,58,46,270745 ,"113850",45,0
한식,육풍,82,31,720554 ,"195550",0,61
한식,별을 품은 곱창,64,14,316449 ,"61063",21,21
한식,삼대족발,64,9,364560 ,"97535",44,11
한식,오복미역,65,52,541683 ,"172750",7,19
한식,불란다쭈꾸미,86,3,372632 ,"106500",0,0
한식,두부본가어묵,89,11,166147 ,"68650",9,0
한식,낙원갈비집,22,8,1105437 ,"294630",100,0
한식,원가회관,34,10,216754 ,"98800",70,60
한식,서울전통육개장,58,7,370286 ,"79890",0,14
한식,목촌나주곰탕왕갈비탕,40,15,300612 ,"106800",60,13
한식,가마실감자탕,38,6,96809 ,"85600",16,0
한식,제주면장,46,10,316498 ,"101800",30,10
한식,미스터오징어,82,29,620444 ,"98500",6,58
한식,희귀한족발,24,34,19105 ,"27500",100,0
한식,도니스바베큐,30,14,101640 ,"10350",57,14
한식,1인자감자탕,178,30,521677 ,"75500",3,3
한식,목촌사골돼지국밥,158,26,467485 ,"106500",15,23
한식,나능이,97,40,593765 ,"86350",17,0
한식,화사랑화로구이,120,5,2160006 ,"163950",20,20
한식,곰작골나주곰탕,109,18,556847 ,"96800",11,27
한식,손군부대찌개,27,8,169206 ,"88900",50,0
한식,백곱식당,28,4,900686 ,"70650",75,0
한식,원할머니,355,252,485243 ,"115121",21,10
한식,꼬기냉면,90,6,223773 ,"79800",16,33
한식,비빔밥 냉면을 부탁해,11,14,11971 ,"30115",100,0
한식,일품양평해장국,38,47,190830 ,"63160",63,10
한식,해장꾹이,65,8,295054 ,"140600",62,0
한식,방일해장국,253,70,204563 ,"88600",1,5
한식,곤지암 한우 소머리국밥,44,23,153228 ,"55735",56,26
한식,햇잎갈비,147,9,281950 ,"151800",0,11
한식,소플러스,47,18,1700510 ,"657162",27,0
한식,청와삼대,115,34,322804 ,"164200",5,17
한식,하남돼지집,105,169,636677 ,"157500",3,20
한식,오봉도시락,129,85,120479 ,"49500",8,30
한식,바베큐덕삼이&화끈한닭발러,26,6,136445 ,"39600",100,16
한식,우거지품은순대국,50,28,344389 ,"70210",46,10
한식,칼국수한마당,24,8,191194 ,"52820",100,0
한식,삼겹살 곱빼기 배달전문 고기한끼,36,22,143689 ,"39800",18,18
한식,족발3시30분,36,12,255790 ,"84928",16,33
한식,샤브담,36,7,56245 ,"147750",0,14
한식,손문대구막창갈매기살,138,25,154531 ,"114070",0,24
한식,숙성의미,26,38,37193 ,"114100",100,0
한식,날마다대박나는집,46,14,1782720 ,"555500",14,0
한식,고기듬뿍대왕비빔밥,31,93,176845 ,"46750",61,3
한식,삼백집,135,32,431966 ,"188450",6,12
한식,통큰두마리찜닭,31,33,142412 ,"29654",75,3
한식,봉추찜닭,245,154,299945 ,"110435",3,4
한식,잭아저씨족발&보쌈,70,45,295250 ,"59357",13,8
한식,본앤본,77,13,124676 ,"54800",0,23
한식,제주고깃집,86,7,221567 ,"91550",28,0
한식,문창식갈비탕,34,5,226475 ,"117200",20,0
한식,두남자찜닭,86,17,441250 ,"155300",0,5
한식,어부의 밥상,67,6,948934 ,"144650",16,16
한식,대독장,50,5,367470 ,"95950",20,0
한식,유장춘 닭개장,59,17,385682 ,"111350",5,17
한식,명태어장,25,30,382307 ,"91300",100,0
한식,바로만든족발,22,9,155919 ,"58900",100,0
한식,대마족발,37,36,396351 ,"67800",55,11
한식,숯겹살집,44,9,197159 ,"87000",11,44
한식,태기산더덕순대,254,8,469785 ,"82300",12,0
한식,자성화 맛집 코다리네,38,58,504031 ,"103510",39,17
한식,장가네 일품순두부,35,20,772350 ,"159100",75,5
한식,부대통령뚝배기,36,32,198745 ,"59400",68,3
한식,금강산감자탕,213,13,419164 ,"121201",0,46
한식,뚝배기양평해장국,231,26,337101 ,"14900",7,7
한식,장터순대국감자탕,72,12,109524 ,"16850",50,16
한식,진이찬방,188,90,207796 ,"62900",20,18
한식,파주닭국수,52,37,233634 ,"94850",32,10
한식,서래갈매기,142,27,470800 ,"77000",0,37
한식,일차돌,35,83,425341 ,"71500",80,30
한식,명동칼국수샤브샤브,177,52,335186 ,"115500",9,21
한식,무쏘,38,48,598163 ,"89400",93,4
한식,쉐프돼지,44,9,100564 ,"48100",22,33
한식,하누소,165,5,2674550 ,"624730",0,40
한식,장인족발608,62,13,722716 ,"73480",23,15
한식,가인채,95,9,953401 ,"357500",0,66
한식,밥장인돼지찌개,70,41,250017 ,"56900",46,19
한식,갈통삼,47,53,186212 ,"38750",56,13
한식,첫번째필족사랑,116,8,131997 ,"40800",0,25
한식,김치도가,24,8,330195 ,"88735",100,0
한식,바보돼지두마리,45,11,187091 ,"54580",27,27
한식,제이브이엘(JVL)부대찌개,37,8,283589 ,"105375",25,12
한식,착한명태,25,6,256667 ,"90600",100,0
한식,정통집,28,48,516535 ,"68449",100,0
한식,진송추어탕,78,12,45301 ,"95900",0,58
한식,반반식당,55,12,280436 ,"188700",0,8
한식,막돼먹은막창,126,5,259637 ,"47100",0,0
한식,바보형제쭈꾸미,84,21,445993 ,"157950",4,9
한식,마당쇠돼지갈비,144,23,199716 ,"64150",13,8
한식,마당쇠껍데기와소금구이,88,21,87050 ,"57220",85,0
한식,돈오락쪽갈비,132,31,247682 ,"85850",29,9
한식,대독장,74,24,367470 ,"95950",4,0
한식,송주불냉면앤칼국수,190,46,85882 ,"43350",23,6
한식,도도랑,107,9,308028 ,"117350",0,0
한식,제주미향해장국,68,13,231994 ,"76500",0,0
한식,한촌설렁탕,416,92,542583 ,"149100",22,3
한식,백미옛날갈비,30,6,599835 ,"122700",50,16
한식,더담 부대찌개,27,5,318723 ,"107600",80,0
한식,곱깨비,37,32,73096 ,"37400",40,40
한식,통큰손쭈꾸미마을,64,4,443705 ,"136450",0,50
한식,미사리밀빛초계국수,107,25,523696 ,"82700",20,16
한식,교동면옥,39,35,820597 ,"93950",62,0
한식,명랑회관,53,3,641586 ,"128450",0,0
한식,곱분이 곱창,31,43,408759 ,"58740",100,13
한식,수육국밥.보쌈전문점 더참맛수육국밥앤보쌈,103,17,510488 ,"80000",0,5
한식,시루향기,156,51,393211 ,"112650",0,25
한식,혼밥대장,35,21,227857 ,"116300",52,0
한식,유가네 한우곰탕,74,72,117425 ,"166100",47,26
한식,주원명가,157,9,166260 ,"123740",0,11
한식,김해시락국밥,161,17,114989 ,"38500",11,11
한식,전주옥,94,5,138382 ,"51500",0,0
한식,부대장,39,9,136629 ,"103100",100,0
한식,홍춘천,65,145,218042 ,"117600",30,22
한식,장도뚝배기,58,6,209606 ,"65400",0,83
한식,천하제일족발,80,15,191212 ,"119750",33,80
한식,계경순대국,82,42,302623 ,"57150",21,16
한식,무한장소,52,8,100179 ,"147650",0,100
한식,한모둠,153,44,332937 ,"130093",0,20
한식,송담추어탕,131,92,393135 ,"92000",18,11
한식,옛날농장,242,16,1081265 ,"125516",6,0
한식,이동근선산뒷고기,57,8,281250 ,"87900",25,25
한식,돔베초밥,31,8,1217009 ,"398800",12,0
한식,홍대칼국수와족발,99,30,308167 ,"113900",26,16
한식,역전국밥,11,10,701638 ,"83400",100,0
한식,접시고기,23,9,614478 ,"67450",100,0
한식,소래버섯나라,139,6,365000 ,"183370",0,16
한식,남노갈비,197,15,142536 ,"128200",6,26
한식,참이맛감자탕,187,63,454055 ,"118500",7,22
한식,셰프의 국수앤육개장,95,10,237519 ,"65910",20,30
한식,본래순대,83,85,170719 ,"95090",10,22
한식,한가네숯불닭갈비,89,46,461700 ,"103282",19,15
한식,배사장,22,6,373482 ,"52740",100,0
한식,부산아지매국밥,94,44,439685 ,"100750",18,6
한식,육콩,58,4,230000 ,"102220",0,0
한식,군산오징어,112,30,263125 ,"108880",10,36
한식,신가네정읍국밥,67,9,314120 ,"199898",33,0
한식,화요옥,31,12,102927 ,"113100",100,75
한식,아재불닭발,50,13,237972 ,"21130",61,0
한식,문래돼지불백,52,9,364293 ,"70100",11,0
한식,토고리 옛날막창 소갈비살,55,36,245670 ,"62261",58,25
한식,아빠곰탕,66,24,230511 ,"108200",20,54
한식,찌개의 역사,28,5,229113 ,"39500",80,0
한식,순흥골,140,7,554414 ,"149370",0,14
한식,제주둘레국수,31,9,296617 ,"69750",100,11
한식,송옥,11,6,805081 ,"139800",100,0
한식,육전국밥,29,12,250034 ,"143550",100,8
한식,춘향골남원추어탕,286,40,421453 ,"12000",2,5
한식,마통삼(마스터통삼겹),40,71,168369 ,"48090",54,14
한식,조선화로집,38,55,1421451 ,"128500",74,9
한식,제주 흑다돈,116,18,230195 ,"121600",0,16
한식,제주도야지판,90,5,510868 ,"253600",0,60
한식,감동까스,29,43,199696 ,"20050",58,53
한식,이바돔감자탕,236,82,717336 ,"244800",7,36
한식,이바돔 외식 Family,70,15,772238 ,"244800",0,60
한식,형제들 감자탕,26,10,623654 ,"92010",100,0
한식,육회먹은연어,68,6,409310 ,"54700",33,33
한식,일호감자탕,64,9,396564 ,"90510",100,0
한식,강촌식당,29,13,456167 ,"115300",69,15
한식,돈통마늘보쌈,139,77,315111 ,"77900",7,11
한식,월선네,130,11,325292 ,"66500",54,9
한식,킹콩부대찌개,106,133,291559 ,"106150",17,10
한식,송화삼계탕&닭갈비,44,6,291236 ,"109700",16,0
한식,팔색삼겹살,105,7,847357 ,"98600",14,28
한식,콩불,144,36,306590 ,"70250",5,50
한식,기막힌뒷고기,32,5,194146 ,"72400",0,0
한식,39℃락,25,9,104162 ,"69430",100,0
한식,춘천중앙로숯불닭갈비,22,3,253347 ,"89050",100,0
한식,요달의 찜닭,26,19,300000 ,"48400",100,0
한식,3일국밥,64,8,229273 ,"75800",37,75
한식,첨단돌솥감자탕,68,24,134364 ,"133150",16,8
